NOL: 18
1023.0,347.0,-1023.0,347.0,0,1
-1024.0,348.0,-1024.0,-349.0,0,1
1023.0,-349.0,1023.0,348.0,0,1
-1024.0,-349.0,1023.0,-349.0,0,0
-956.0,188.0,-833.0,188.0,0,0
-806.0,38.0,-473.0,37.0,0,0
-355.0,119.0,-196.0,118.0,0,0
-157.0,200.0,92.0,199.0,0,0
54.0,78.0,274.0,77.0,0,0
323.0,147.0,521.0,149.0,0,0
926.0,46.0,1025.0,45.0,0,0
726.0,-2.0,855.0,-3.0,0,0
191.0,-157.0,488.0,-157.0,0,0
-1006.0,-130.0,-893.0,-131.0,0,0
-842.0,-238.0,-768.0,-239.0,0,0
-731.0,-164.0,-610.0,-165.0,0,0
-511.0,-68.0,-243.0,-67.0,0,0
584.0,-253.0,740.0,-115.0,0,0
NOC: 0
